会社,証券コード,時価総額,PER,前日比 (%),年初来 (%),5年前比 (%),,,
"Global Net Lease, Inc.",GNL,1665172173,,-0.688,-1.095890411,-64.57311089,,1603,1665172173
"PureCycle Technologies, Inc.",PCT,1662050869,,1.807,-6.536585366,,,1604,1662050869
"Sprout Social, Inc.",SPT,1660308221.8799999,,1.085,6.219472484532716,70.69597069597069,,1605,1660308222
"Matterport, Inc.",MTTR,1659681991,,1.581,8.438818565400823,,,1606,1659681991
MANNKIND CORP,MNKD,1657423934.9299998,76.85,,-6.531881804,282.80254777070064,,1607,1657423935
"PagerDuty, Inc.",PD,1649837817.6000001,,-1.929,0.2190580503833388,-27.86756011,,1608,1649837818
Pebblebrook Hotel Trust,PEB,1645784828,207.43,0.365,1.4760147601476064,-46.74670798,,1609,1645784828
EDGEWELL PERSONAL CARE Co,EPC,1642877852.3999999,16.66,1.597,0.3571428571428612,12.889186474723786,,1610,1642877852
VERMILION ENERGY INC.,VET,1642183239,,-0.687,7.659574468085097,-38.36784409,,1611,1642183239
"Alphatec Holdings, Inc.",ATEC,1640254256,,2.48,26.034858387799574,54.88621151271755,,1612,1640254256
DYNAVAX TECHNOLOGIES CORP,DVAX,1636609284.4499998,79.92,0.484,-2.50587314,101.78282009724472,,1613,1636609284
INTEGRAL AD SCIENCE HOLDING CORP.,IAS,1633211287.8799999,49.96,1.312,-3.831417625,,,1614,1633211288
"Duckhorn Portfolio, Inc.",NAPA,1632454343,31.6,,12.588832487309645,,,1615,1632454343
NETSCOUT SYSTEMS INC,NTCT,1629708887,,0.454,2.2622345337026672,-13.69569453,,1616,1629708887
Compass Diversified Holdings,CODI,1625767626.1399999,9.98,0.093,-6.889081456,-8.369485956,,1617,1625767626
NICOLET BANKSHARES INC,NIC,1624606783,13.51,0.85,1.8015441807263386,47.18853362734288,,1618,1624606783
"bluebird bio, Inc.",BLUE,1623610281,,1.09,0.11990407673860659,-86.76638547,,1619,1623610281
Northwest Natural Holding Co,NWN,1621736059.6799998,20.66,0.648,2.1486349848331514,-44.63625154,,1620,1621736060
"GRID DYNAMICS HOLDINGS, INC.",GDYN,1617639513,668.72,1.985,-5.305755396,90.93381686310062,,1621,1617639513
"10x Genomics, Inc.",TXG,1613524034,,-0.066,5.013927576601688,-82.44265922,,1622,1613524034
"O-I Glass, Inc.",OI,1611419531,,0.774,-3.874538745,-21.53614458,,1623,1611419531
DXP ENTERPRISES INC,DXPE,1611393637.6100001,24.74,3.29,24.267731784071643,161.9132653061224,,1624,1611393638
TENNANT CO,TNC,1607584422.5600002,14.87,0.769,4.476879676192809,-1.274918869,,1625,1607584423
"Distribution Solutions Group, Inc.",DSGR,1606539283.9999998,709.92,0.322,-0.290697674,22.895019706198497,,1626,1606539284
"UPBOUND GROUP, INC.",UPBD,1603869928,,0.136,1.2684264655467956,-3.93495935,,1627,1603869928
SJW GROUP,SJW,1597167334,17.75,0.104,-2.417716375,-32.69338565,,1628,1597167334
"Empire State Realty Trust, Inc.",ESRT,1596443517.0900002,20.63,0.313,-6.686046512,-31.2633833,,1629,1596443517
Mobileye Global Inc.,MBLY,1594760995,,-2.968,-19.57831325,,,1630,1594760995
"NEXTERA ENERGY PARTNERS, LP",NEP,1594757701,6.64,0.828,-4.213483146,-69.29034582,,1631,1594757701
Fortrea Holdings Inc.,FTRE,1586793000,,-0.674,-5.147453083,,,1632,1586793000
"Phreesia, Inc.",PHR,1581556271,,1.53,8.147853736089033,-1.37731062,,1633,1581556271
LTC PROPERTIES INC,LTC,1580958137,15.21,0.345,1.0998552821997123,-25.41106129,,1634,1580958137
Reviv3 Procare Co,RVIV,1580538812,,1.118,3039.5348837209303,1250,,1635,1580538812
Sterling Check Corp.,STER,1578332657.6999998,,,20.25862068965516,,,1636,1578332658
Tronox Holdings plc,TROX,1574509887.1100001,,0.1,-0.993048659,-14.85909479,,1637,1574509887
"Customers Bancorp, Inc.",CUBI,1567462900,7.24,2.082,2.711585866885784,152.74263672239306,,1638,1567462900
"DORCHESTER MINERALS, L.P.",DMLP,1567419321,,-1.517,-0.660066007,58.800959232613906,,1639,1567419321
"Teladoc Health, Inc.",TDOC,1564995512,,-0.764,,-90.62016304,,1640,1564995512
Infinera Corp,INFN,1560527322,,0.611,0.3044140030441298,-19.8296837,,1641,1560527322
Fusion Pharmaceuticals Inc.,FUSN,1560345852,,,124.24557752341312,,,1642,1560345852
"Xometry, Inc.",XMTR,1558090865.1699998,,-1.599,-22.10501641,,,1643,1558090865
"Intuitive Machines, Inc.",LUNR,1558034030.0700002,,-2.886,1.9273127753304067,,,1644,1558034030
VEECO INSTRUMENTS INC,VECO,1556291613,19.36,1.631,2.276119403,66.82897139379185,,1645,1556291613
PHOTRONICS INC,PLAB,1556150483,8.46,1.739,4.286926994906622,60.69326357096142,,1646,1556150483
HORACE MANN EDUCATORS CORP,HMN,1555732440,14.94,-0.857,-2.702013765,-13.97340545,,1647,1555732440
CTS CORP,CTS,1555166744,25.99,0.486,-2.067134459,67.98959011060509,,1648,1555166744
"Cadre Holdings, Inc.",CDRE,1550819061.7199998,47.36,5.995,18.235294117647058,,,1649,1550819062
Grocery Outlet Holding Corp.,GO,1549325022,30.22,-0.25,2.178090967328643,-53.48498104,,1650,1549325022
MONARCH CASINO & RESORT INC,MCRI,1545600241,17.81,0.334,6.5272496831431965,70.84258383421411,,1651,1545600241
SSR MINING INC.,SSRM,1542055811,,-0.91,9.482758620689651,-57.21504773,,1652,1542055811
"Worthington Steel, Inc.",WS,1540041054,10.98,0.464,-4.682589566,,,1653,1540041054
CSG SYSTEMS INTERNATIONAL INC,CSGS,1537547133.8500001,23.63,1.478,3.4044218352572813,2.422480620155042,,1654,1537547134
SANDY SPRING BANCORP INC,SASR,1528745956,17.88,0.624,0.47463660634825544,-8.335588633,,1655,1528745956
NATIONAL HEALTHCARE CORP,NHC,1523261556,12.23,-0.162,-8.283748605,12.936462507155142,,1656,1523261556
VERINT SYSTEMS INC,VRNT,1521614879,19.25,0.287,-11.00182149,-18.10136229,,1657,1521614879
Playa Hotels & Resorts N.V.,PLYA,1519432713,23.1,0.402,-1.185770751,65.12549537648613,,1658,1519432713
RLJ Lodging Trust,RLJ,1519281160,21.43,-0.9,-2.938295788,-41.39562389,,1659,1519281160
FRESH DEL MONTE PRODUCE INC,FDP,1518798156,99.27,0.348,-4.60704607,-7.476635514,,1660,1518798156
"BrightView Holdings, Inc.",BV,1518100000,22.86,1.203,-0.062539087,-5.050505051,,1661,1518100000
SONIC AUTOMOTIVE INC,SAH,1513796529,7.72,-0.029,7.8295185477506095,120.28377942599161,,1662,1513796529
"Andersons, Inc.",ANDE,1512708133,7.76,0.498,9.575518262586357,75.91125198098257,,1663,1512708133
"MILLERKNOLL, INC.",MLKN,1511266874,22.22,2.246,-3.275785746,-47.03030303,,1664,1511266874
"American Assets Trust, Inc.",AAT,1510968274,20.22,0.405,-5.521706017,-46.53017241,,1665,1510968274
"Xenia Hotels & Resorts, Inc.",XHR,1510961520,58.6,-0.269,-0.134589502,-27.96116505,,1666,1510961520
RPC INC,RES,1510272240,,0.718,18.013468013467985,41.616161616161605,,1667,1510272240
"Stellar Bancorp, Inc.",STEL,1505963275,12.87,1.402,-0.529100529,-10.53299492,,1668,1505963275
Madison Square Garden Entertainment Corp.,MSGE,1496144244.3600001,8.52,1.353,1.0112359550561933,,,1669,1496144244
NAVIENT CORP,NAVI,1494499642,18.92,0.651,4.7404063205417515,2.2026431718061588,,1670,1494499642
"Veris Residential, Inc.",VRE,1489210211,,-0.373,-3.607937462,-32.21987315,,1671,1489210211
"G1 Therapeutics, Inc.",GTHX,1486200734.0500002,,,134.42622950819674,-78.95201649,,1672,1486200734
"Arcutis Biotherapeutics, Inc.",ARQT,1484125413.8799999,,-7.782,-8.973438622,,,1673,1484125414
MAG SILVER CORP,MAG,1483769220,,0.597,11.544117647058826,39.430147058823536,,1674,1483769220
"MeridianLink, Inc.",MLNK,1483315478,,1.551,-4.891041162,,,1675,1483315478
Topgolf Callaway Brands Corp.,MODG,1481620924,,-0.371,2.5445292620865274,-63.44671202,,1676,1481620924
"Calumet Specialty Products Partners, L.P.",CLMT,1479149412,,1.322,-16.43960036,304.3956043956044,,1677,1479149412
"VIRTUS INVESTMENT PARTNERS, INC.",VRTS,1474442278,9.73,-0.431,-4.760177713,65.35222353404174,,1678,1474442278
TRIUMPH GROUP INC,TGI,1473523787,2.78,0.794,2.0900321543408467,-36.91844101,,1679,1473523787
HELEN OF TROY LTD,HELE,1472558522,10.38,-2.215,7.705164633127197,-65.22771422,,1680,1472558522
abrdn Silver ETF Trust,SIVR,1470152000,,-1.397,4.969169387014887,66.13088404,,1681,1470152000
Perella Weinberg Partners,PWP,1467790658,,4.929,8.053691275167793,,,1682,1467790658
Soho House & Co Inc.,SHCO,1461278230.6200001,,-1.44,1.0738255033557067,,,1683,1461278231
"SS Innovations International, Inc.",SSII,1460890457.5500002,,3.762,8.365019011406844,-19.33962264,,1684,1460890458
Uniti Group Inc.,UNIT,1459804973.1200001,22.59,2.222,8.727272727272734,-24.59016393,,1685,1459804973
HOPE BANCORP INC,HOPE,1459734196,14.34,0.834,-1.6273393,-18.14488829,,1686,1459734196
"HELIOS TECHNOLOGIES, INC.",HLIO,1459007794.8600001,38.8,-0.836,-1.680107527,-10.07990166,,1687,1459007795
"Krispy Kreme, Inc.",DNUT,1458600000,47.7,,-13.59516616,,,1688,1458600000
Sezzle Inc.,SEZL,1455417815.3799999,25.95,11.203,1.4738076622360978,,,1689,1455417815
"Goldman Sachs BDC, Inc.",GSBD,1454485553,19.17,0.977,2.479338842975224,-40.95766665,,1690,1454485553
"Veritex Holdings, Inc.",VBTX,1454174517,16.94,3.13,-1.730486009,-5.788916343,,1691,1454174517
"Air Transport Services Group, Inc.",ATSG,1453951477,,0.045,0.5914467697907071,-7.100840336,,1692,1453951477
Adient plc,ADNT,1453767650.1899998,14.39,-2.058,-0.580383053,-19.91584853,,1693,1453767650
DNOW Inc.,DNOW,1452209246.6000001,7.05,1.105,5.457340507302092,16.074450084602375,,1694,1452209247
Immunocore Holdings plc,IMCR,1451950985,,-0.275,-1.627118644,,,1695,1451950985
SilverCrest Metals Inc.,SILV,1448777266,,-0.202,8.351648352,50.304878048780495,,1696,1448777266
"Select Water Solutions, Inc.",WTTR,1448395814,22.21,-1.334,6.117824773413901,56.458797327394194,,1697,1448395814
ZUORA INC,ZUO,1446647000,,,0.5040322580645267,-36.33461047,,1698,1446647000
HARMONIC INC,HLIT,1444949829,17.01,-0.161,-6.273620559,49.577804583835956,,1699,1444949829
Invesco DB Commodity Index Tracking Fund,DBC,1443697500,,-0.443,5.098222637979404,42.93893129770993,,1700,1443697500
LINDSAY CORP,LNN,1443015965,21.78,1.341,12.45034232102104,27.738838214114253,,1701,1443015965
"Dyne Therapeutics, Inc.",DYN,1437952987,,-4.333,-40.02546689,,,1702,1437952987
Rumble Inc.,RUM,1437933885,,5.306,-0.845503459,,,1703,1437933885
"EVERBRIDGE, INC.",EVBG,1437417380,,,43.973673385438104,-64.41642944,,1704,1437417380
STEPAN CO,SCL,1436738277,31.35,0.472,-1.282843895,-37.98427032,,1705,1436738277
"Viridian Therapeutics, Inc.\DE",VRDN,1436127103,,6.272,-5.425143453,75.29610829103214,,1706,1436127103
UNIVERSAL TECHNICAL INSTITUTE INC,UTI,1436037527,34.19,2.231,3.383897316219347,256.77852348993287,,1707,1436037527
"Travere Therapeutics, Inc.",TVTX,1433777177.3600001,,-0.541,5.453501722158435,10.098891219658384,,1708,1433777177
"Longboard Pharmaceuticals, Inc.",LBPH,1430957795,,,894.6932006633498,,,1709,1430957795
S&T BANCORP INC,STBA,1430148707,10.57,1.027,-2.197802198,-6.899128269,,1710,1430148707
LEGGETT & PLATT INC,LEG,1428896842,,-1.207,10.833333333333343,-79.37184955,,1711,1428896842
ProFrac Holding Corp.,ACDC,1426906224,,-3.362,14.819587628865989,,,1712,1426906224
Ladder Capital Corp,LADR,1425716248,14.99,0.269,-0.17873101,-39.65424095,,1713,1425716248
"Thoughtworks Holding, Inc.",TWKS,1423362079,,,-7.068607069,,,1714,1423362079
"Enfusion, Inc.",ENFN,1423279177,306.54,1.004,7.475728155339809,,,1715,1423279177
"Marcus & Millichap, Inc.",MMI,1422112278,,1.3,-4.260324098,0.057037701,,1716,1422112278
1ST SOURCE CORP,SRCE,1418267550,10.94,0.609,-0.907845152,12.439261418853249,,1717,1418267550
TRICO BANCSHARES,TCBK,1417581071,12.67,0.585,-1.71624714,9.650242532550422,,1718,1417581071
"LEGALZOOM.COM, INC.",LZ,1417142121.9999998,57.86,0.367,9.187749667,,,1719,1417142122
AdaptHealth Corp.,AHCO,1415517432,,1.349,10.504201680672281,-7.719298246,,1720,1415517432
Adeia Inc.,ADEA,1411702986,34.19,1.254,-7.582260372,47.30295920471909,,1721,1411702986
"WisdomTree, Inc.",WT,1405517170.7199998,24.04,0.104,-8.380952381,127.96208530805688,,1722,1405517171
U-Haul Holding Co,UHAL,1404505854.4399998,2.92,0.505,3.676364162686326,114.82102526520782,,1723,1404505854
APPIAN CORP,APPN,1400300093,,-2.93,-0.545785324,-39.38273887,,1724,1400300093
INTERFACE INC,TILE,1399868740,16.52,0.418,-1.396303901,39.918414918414925,,1725,1399868740
"A10 Networks, Inc.",ATEN,1399227125,28.12,1.282,3.0434782608695627,162.96809986130376,,1726,1399227125
NATURAL RESOURCE PARTNERS LP,NRP,1399126968,6.8,-0.325,-3.405405405,425.1602297069064,,1727,1399126968
"APPLIED OPTOELECTRONICS, INC.",AAOI,1398776639.0900002,,0.486,-15.81660336,116.31230393865457,,1728,1398776639
WESTAMERICA BANCORPORATION,WABC,1398613469.6399999,9.55,2.044,-0.095310713,-22.93780326,,1729,1398613470
"Vir Biotechnology, Inc.",VIR,1392350413.1999998,,0.597,37.73841961852861,-41.11822947,,1730,1392350413
HELIX ENERGY SOLUTIONS GROUP INC,HLX,1384141868,192.7,1.676,-2.360515021,0.6637168141592866,,1731,1384141868
WINMARK CORP,WINA,1381405745,34.46,0.98,-0.1704531,110.73172466978622,,1732,1381405745
"Eve Holding, Inc.",EVEX,1378093100,,1.535,-14.88970588,,,1733,1378093100
Docebo Inc.,DCBO,1375050787,,-1.703,-5.874469511,Infinity,,1734,1375050787
"Vital Energy, Inc.",VTLE,1371216807,2.93,-1.615,16.235446313065978,-26.95121951,,1735,1371216807
Bitwise 10 Crypto Index Fund,BITW,1363295130.4499998,2.83,6.583,11.599005799502876,,,1736,1363295130
QCR HOLDINGS INC,QCRH,1361322732,11.69,0.112,0.074404762,88.99297423887586,,1737,1361322732
Forestar Group Inc.,FOR,1357447853,6.67,-1.724,3.3564814814814667,22.88990825688073,,1738,1357447853
G III APPAREL GROUP LTD,GIII,1356538113.3700001,7.81,1.046,-5.24218271,2.1480502313284973,,1739,1356538113
"Nurix Therapeutics, Inc.",NRIX,1355806437,,-1.796,1.5923566878981035,,,1740,1355806437
"AGILITI, INC. \DE",AGTI,1355186591.8500001,,,26.893939393939405,,,1741,1355186592
"Coursera, Inc.",COUR,1347982417.1399999,,-1.39,0.1176470588235361,,,1742,1347982417
Xencor Inc,XNCR,1346454257.1999998,,-3.944,-16.27502176,-49.08706007,,1743,1346454257
NOVAVAX INC,NVAX,1345553949.6000001,,-1.524,4.477611940298516,75.73221757322176,,1744,1345553950
"MIMEDX GROUP, INC.",MDXG,1340149463,15.15,0.441,-5.197505198,43.848580441640365,,1745,1340149463
"Kiniksa Pharmaceuticals International, plc",KNSA,1338617015,,0.816,-6.268958544,18.693982074263758,,1746,1338617015
U S PHYSICAL THERAPY INC,USPH,1336661099,42.02,-0.259,-0.18036298,-26.86049393,,1747,1336661099
OXFORD INDUSTRIES INC,OXM,1332103789.1200001,,-1.536,8.250825082508257,14.979102062828645,,1748,1332103789
"Rush Street Interactive, Inc.",RSI,1330877651,1942.89,0.603,9.475218658892118,,,1749,1330877651
GENESIS ENERGY LP,GEL,1324631153,46.02,1.121,7.022749752720074,-49.7445425,,1750,1324631153
Sigma Lithium Corp,SGML,1321814247,,1.693,7.040998217468797,776.2585728877863,,1751,1321814247
Blue Bird Corp,BLBD,1321698181.1200001,12.52,-3.282,6.031581672275422,85.00451671183379,,1752,1321698181
FIRST BUSEY CORP,BUSE,1315587122,11.82,1.181,-1.866779805,-15.95203488,,1753,1315587122
"AMC ENTERTAINMENT HOLDINGS, INC.",AMC,1314878947,,-2.235,-12.06030151,-91.19095052,,1754,1314878947
"Praxis Precision Medicines, Inc.",PRAX,1314708789.5800002,,0.413,-8.341995842,,,1755,1314708790
"Eos Energy Enterprises, Inc.",EOSE,1311832413.2199998,,-2.273,23.868312757201622,,,1756,1311832413
WILLIS LEASE FINANCE CORP,WLFC,1307580618,13.27,-1.414,-4.596482775,243.40032220769587,,1757,1307580618
MARTEN TRANSPORT LTD,MRTN,1307237800,38.8,-2.668,2.8187059577194304,18.16114751,,1758,1307237800
"Fastly, Inc.",FSLY,1303386999.9999998,,-1.275,-1.588983051,-61.42026578,,1759,1303387000
FORTUNA MINING CORP.,FSM,1302997428,,-1.163,-0.932400932,8.695652173913032,,1760,1302997428
JBG SMITH Properties,JBGS,1302647044,,,0.32530904359143165,-61.972873,,1761,1302647044
KAMAN Corp,KAMN,1302397065,149.75245080372542,,92.02505219206682,-24.51994092,,1762,1302397065
"CompoSecure, Inc.",CMPO,1300813678,32.82,1.513,-3.718199609,,,1763,1300813678
Liberty Latin America Ltd.,LILA,1295558000,,1.208,5.345911949685529,-63.02308673,,1764,1295558000
"Kimbell Royalty Partners, LP",KRP,1291465933,18.95,-0.188,-1.725200246,2.638352638352643,,1765,1291465933
Oaktree Specialty Lending Corp,OCSL,1289606602,22.27,,2.617801047120423,-4.130331879,,1766,1289606602
iShares Gold Trust Micro,IAUM,1288210000,,-0.443,2.9805120366832085,,,1767,1288210000
"ARTIVION, INC.",AORT,1287779205,,-1.665,7.450157397691498,3.4343434343434325,,1768,1287779205
"Arcus Biosciences, Inc.",RCUS,1283907874,,-0.637,-5.775688381,34.13001912045888,,1769,1283907874
"HCI Group, Inc.",HCI,1282910918,7.81,0.288,4.479533167424691,164.84663911246463,,1770,1282910918
"NAPCO SECURITY TECHNOLOGIES, INC",NSSC,1282475017,25.38,0.373,-1.687289089,126.49821833495301,,1771,1282475017
Ero Copper Corp.,ERO,1276391949,,1.799,4.970326409495556,-10.58276655,,1772,1276391949
fuboTV Inc.,FUBO,1276233847,,-4.261,203.17460317460313,-60.6185567,,1773,1276233847
"Alexander & Baldwin, Inc.",ALEX,1274708219.8500001,28.39,-0.903,-1.07102593,-20.8032491,,1774,1274708220
"Altice USA, Inc.",ATUS,1274086203,,1.099,14.522821576763477,-90.46302695,,1775,1274086203
"agilon health, inc.",AGL,1273135141,,4.392,62.63157894736841,,,1776,1273135141
APARTMENT INVESTMENT & MANAGEMENT CO,AIV,1272837006,,-0.332,-0.880088009,139.75684770570527,,1777,1272837006
SUBURBAN PROPANE PARTNERS LP,SPH,1271744693,17.15,0.458,14.651162790697668,-11.9249665,,1778,1271744693
Sabre Corp,SABR,1267466119.1599998,,3.086,-8.493150685,-85.55363322,,1779,1267466119
"QUINSTREET, INC",QNST,1265916825,,1.215,-2.470741222,54.63917525773195,,1780,1265916825
"CIM REAL ESTATE FINANCE TRUST, INC.",CMRF,1265850000,,,,,,1781,1265850000
"BYLINE BANCORP, INC.",BY,1265422166,10.54,1.135,-1.689655172,39.89205103042198,,1782,1265422166
MidCap Financial Investment Corp,MFIC,1265095950,11.71,0.447,,-19.53435144,,1783,1265095950
"Day One Biopharmaceuticals, Inc.",DAWN,1264612527,,1.129,-1.026045777,,,1784,1264612527
"Kennedy-Wilson Holdings, Inc.",KW,1264189692,,2.908,-7.907907908,-59.38189845,,1785,1264189692
UNIVERSAL CORP,UVV,1260070879,9.11,0.85,-6.947483589,-9.729347249,,1786,1260070879
"OCULAR THERAPEUTIX, INC",OCUL,1259311590,,-0.497,-6.206088993,74.13043478260869,,1787,1259311590
Centerra Gold Inc.,CGAU,1254193314,,-0.342,2.2847100175746817,-20.49180328,,1788,1254193314
"Delek US Holdings, Inc.",DK,1251896218.6499999,,-1.049,7.081081081081081,-36.35476937,,1789,1251896219
"Dime Community Bancshares, Inc.",DCOM,1251245633,19.01,-0.281,3.9856840735318144,57.90513833992097,,1790,1251245633
"Apollo Commercial Real Estate Finance, Inc.",ARI,1246335217,,0.557,4.157043879907604,-51.05805751,,1791,1246335217
GENTHERM Inc,THRM,1243527847,18.36,1.543,0.5385097056982033,-15.99874438,,1792,1243527847
"ARVINAS, INC.",ARVN,1240271419,,2.673,-5.84246218,-64.80795477,,1793,1240271419
"CRA INTERNATIONAL, INC.",CRAI,1238992003,28.73,-0.093,-2.377136752,225.52547203420022,,1794,1238992003
"REGENERON PHARMACEUTICALS, INC.",REGN,1238530371,0.27,-1.681,-4.316819452,76.77205176751306,,1795,1238530371
TWO HARBORS INVESTMENT CORP.,TWO,1237582504,,1.015,0.929839391,-80.21868787,,1796,1237582504
"Udemy, Inc.",UDMY,1232866973.6499999,,-1.17,2.6731470230862584,,,1797,1232866974
"Employers Holdings, Inc.",EIG,1231109140,9.06,-0.836,-2.771813391,20.859553337448844,,1798,1231109140
MRC GLOBAL INC.,MRC,1230056519,12.42,1.691,12.910798122065728,6.573116691,,1799,1230056519
ANI PHARMACEUTICALS INC,ANIP,1228699127,,1.67,5.7525325615050775,-4.399018806,,1800,1228699127
VanEck Merk Gold ETF,OUNZ,1226075310,32.35,-0.496,3.0039525691699396,71.44736842105263,,1801,1226075310
"RxSight, Inc.",RXST,1224852691,,-2.534,-11.60558464,,,1802,1224852691
BERKSHIRE HILLS BANCORP INC,BHLB,1224802149,30.7,,0.2462187829757312,-10.57420772,,1803,1224802149
IMAX CORP,IMAX,1221710445,41.92,3.573,-9.4140625,13.066796684544116,,1804,1221710445
"ARS Pharmaceuticals, Inc.",SPRY,1221621421,,3.202,19.146919431279613,,,1805,1221621421
CENTRUS ENERGY CORP,LEU,1220158344,16.1,5.09,16.844317670019507,1095.5453149001537,,1806,1220158344
AMERICAN WOODMARK CORP,AMWD,1219530454,11.58,0.31,1.8609329812649236,-28.21444395,,1807,1219530454
"CRACKER BARREL OLD COUNTRY STORE, INC",CBRL,1218244264.6399999,30.22,-3.831,3.537646613696552,-65.66068515,,1808,1218244265
VS Trust,SVIX,1217946853,,-0.614,2.089081592431995,,,1809,1217946853
"Easterly Government Properties, Inc.",DEA,1217305498,61.99,0.174,1.408450704225345,-50.79026057,,1810,1217305498
Taboola.com Ltd.,TBLA,1216281018,,0.845,-1.917808219,,,1811,1216281018
New Mountain Finance Corp,NMFC,1215485447,10.64,0.446,0.088809947,-18.18302725,,1812,1215485447
UNIVERSAL HEALTH SERVICES INC,UHS,1215332580,1.16,0.402,2.9985508861888377,28.386827844935397,,1813,1215332580
"Aeglea BioTherapeutics, Inc.",AGLE,1215326981,,8.786,6.779284285396756,-94.14859927,,1814,1215326981
Safehold Inc.,SAFE,1214415060,9.95,-0.527,-8.008658009,-59.26531302,,1815,1214415060
BIOLIFE SOLUTIONS INC,BLFS,1212561774,,-1.172,0.6933744221879721,64.40251572327045,,1816,1212561774
"Schrodinger, Inc.",SDGR,1210196906,,1.659,-1.503369622,,,1817,1210196906
"U.S. SILICA HOLDINGS, INC.",SLCA,1209576568,65.55970556802168,,36.95844385499558,11.760461760461766,,1818,1209576568
ALPHA & OMEGA SEMICONDUCTOR Ltd,AOSL,1207682861,,8.588,12.341344855522536,193.9929328621908,,1819,1207682861
"HARROW, INC.",HROW,1205558204,,1.166,0.894187779,372.7653631284916,,1820,1205558204
"NV5 Global, Inc.",NVEE,1197923015,33.91,-3.105,-2.282377919,29.991173874669016,,1821,1197923015
Sphere Entertainment Co.,SPHR,1197268125,,-0.337,2.6537698412698347,,,1822,1197268125
"Cannae Holdings, Inc.",CNNE,1195817996,,-0.574,-4.028197382,-51.41473362,,1823,1195817996
NETSTREIT Corp.,NTST,1188677671,,0.691,2.96819788,,,1824,1188677671
"Pediatrix Medical Group, Inc.",MD,1188585940,,0.508,5.487804878048792,-50.05413208,,1825,1188585940
Ready Capital Corp,RC,1188141463,,4.444,3.3724340175953103,-55.79937304,,1826,1188141463
"Arlo Technologies, Inc.",ARLO,1187038478,,-1.004,5.719392314566576,162.3059866962306,,1827,1187038478
"ARDELYX, INC.",ARDX,1186639893,,-2.907,-1.183431953,-30.12552301,,1828,1186639893
"United States Natural Gas Fund, LP",UNG,1185609529,,-8.024,9.101725163593116,-71.48631841,,1829,1185609529
"Sprinklr, Inc.",CXM,1181693200,26.81,-0.233,1.3017751479290212,,,1830,1181693200
"GERMAN AMERICAN BANCORP, INC.",GABC,1179710795,14.37,0.709,-1.168572849,11.37573550014011,,1831,1179710795
REPUBLIC BANCORP INC,RBCAA,1178498243.7900002,,1.393,-2.060970374,49.60647135986008,,1832,1178498244
SAFETY INSURANCE GROUP INC,SAFT,1177544236,15.73,-0.763,-3.689320388,-15.95891136,,1833,1177544236
PAPA JOHNS INTERNATIONAL INC,PZZA,1175424844,12.28,-1.639,-12.32042854,-44.80380135,,1834,1175424844
"Utz Brands, Inc.",UTZ,1175334598,1254.36,2.299,-9.067688378,33.93692737025566,,1835,1175334598
Everi Holdings Inc.,EVRI,1170366104,89.72,-0.147,0.4441154700222114,4.304381245196012,,1836,1170366104
"Evolent Health, Inc.",EVH,1165639100,,-1.575,-11.11111111,-9.584086799,,1837,1165639100
"XPEL, Inc.",XPEL,1164795073,23.99,-1.01,5.483224837255889,186.59863945578235,,1838,1164795073
"Innoviva, Inc.",INVA,1163128084.9799998,18.01,0.705,7.089337175792494,28.04962095106822,,1839,1163128085
Xerox Holdings Corp,XRX,1161654019,,3.778,10.794780545670221,-74.95307053,,1840,1161654019
ENCORE CAPITAL GROUP INC,ECPG,1157319565.3500001,,0.597,2.260833158886328,32.16991341991343,,1841,1157319565
"CommScope Holding Company, Inc.",COMM,1157110272,,-0.741,2.8790786948176788,-63.66101695,,1842,1157110272
CHIMERA INVESTMENT CORP,CIM,1156517305,3.28,0.21,2.142857142857153,-77.52632406,,1843,1156517305
"UNIVERSAL LOGISTICS HOLDINGS, INC.",ULH,1152563179,,-0.612,-4.549412277,127.79220779220779,,1844,1152563179
"CareDx, Inc.",CDNA,1149910194,,-2.811,0.14012143858010973,-8.80476393,,1845,1149910194
"Revolve Group, Inc.",RVLV,1149396274,28.23,1.419,-10.36130188,45.09424842919282,,1846,1149396274
"Sally Beauty Holdings, Inc.",SBH,1147179666,7.48,0.987,7.751196172248825,-28.37150127,,1847,1147179666
Aurinia Pharmaceuticals Inc.,AUPH,1146865945,,3.488,-10.80178174,-59.60665658,,1848,1146865945
"Weave Communications, Inc.",WEAV,1146144920,,-0.127,-1.067839196,,,1849,1146144920
Quanex Building Products CORP,NX,1142779927,34.57,1.597,-0.247524752,35.23489932885906,,1850,1142779927
Cars.com Inc.,CARS,1142000776,29.11,-0.113,1.788805539526848,36.74418604651163,,1851,1142000776
VIASAT INC,VSAT,1141426064.8700001,,4.959,4.4653349001175116,-87.9047619,,1852,1141426065
COASTAL FINANCIAL CORP,CCB,1140711726,27.91,-0.696,-0.812625132,387.1023713128976,,1853,1140711726
Ellington Financial Inc.,EFC,1137804787,8.32,0.561,3.547854785478563,-32.88770053,,1854,1137804787
BARRETT BUSINESS SERVICES INC,BBSI,1137598969.1399999,22.42,-0.182,0.9668508287292923,92.83358979995603,,1855,1137598969
Wheels Up Experience Inc.,UP,1137433012,,0.617,-1.212121212,,,1856,1137433012
COHU INC,COHU,1137375158.3999999,,0.66,-8.61423221,-2.008032129,,1857,1137375158
