kagakueigano_ichi_kosatsu.txt,単語,頻度,gorono_ronri.txt,単語,頻度,kagaku_bumueno_kugen.txt,単語,頻度,bito_kagaku.txt,単語,頻度,kagakuteki_seishintowa_nanika.txt,単語,頻度,senkono_hi.txt,単語,頻度,gengoto_dogu.txt,単語,頻度,kagakuteki_hohono_tekiyosarenu_baai.txt,単語,頻度,gijutsuno_tetsugaku.txt,単語,頻度,kagaku_jicho.txt,単語,頻度,hanashino_tane.txt,単語,頻度,hikaku_kagakuron.txt,単語,頻度,kokeino_ronri.txt,単語,頻度,futatabi_kagakuno_rekishiteki.txt,単語,頻度,jikkenshitsuno_kioku.txt,単語,頻度,terebino_kagakubangumi.txt,単語,頻度,nihon_saiken.txt,単語,頻度,haru6dai.txt,単語,頻度,ryotekito_shitsuteki.txt,単語,頻度,mangato_kagaku.txt,単語,頻度,gijutsuteki_seishintowa_nanika.txt,単語,頻度,kagakuwa_yakuni_tatsuka.txt,単語,頻度,gijutsue_iku_mondai.txt,単語,頻度,unescoto_kagaku.txt,単語,頻度,saijiki_shinchu.txt,単語,頻度,kagakuto_kagakuno_kannen.txt,単語,頻度,kagakushato_atama.txt,単語,頻度,chikyuno_marui_hanashi.txt,単語,頻度,risshunno_tamago.txt,単語,頻度,seisan'o_mokuhyotosuru_kagaku.txt,単語,頻度,futatabi_kagakuteki_seishinni_tsuite.txt,単語,頻度,mannenfude_ran_yori.txt,単語,頻度,kagakuto_bunka.txt,単語,頻度,kagakuga_hesoo_mageta.txt,単語,頻度,kagakuno_joshiki.txt,単語,頻度,ujino_koyo.txt,単語,頻度,kagakuni_kokorozasu_hitoe.txt,単語,頻度,warerano_tetsugaku.txt,単語,頻度,kokuminno_jinkaku_kojo.txt,単語,頻度,kagakuno_fushigi.txt,単語,頻度,kagakusyato_geijutsuka.txt,単語,頻度,kagakujoni_okeru_ken'ino_kachito_heigai.txt,単語,頻度,minami_taiheiyo_kagaku.txt,単語,頻度,nihonbunkato_kagakuteki_shiso.txt,単語,頻度,saikin_nihonno_kagakuron.txt,単語,頻度,chawanno_yu.txt,単語,頻度,hosokuni_tsuite.txt,単語,頻度,kagakujono_kotto_shumito_onkochishin.txt,単語,頻度,kokuboto_kagaku.txt,単語,頻度,inuga_nakuto_garasuga_kowareruka.txt,単語,頻度,kagakuno_genkai.txt,単語,頻度,kagakuron.txt,単語,頻度,senrigan_sonota.txt,単語,頻度,shakaijijoto_kagakutekiseishin.txt,単語,頻度,kagaku_hohoron.txt,単語,頻度,gijutsuto_kagakutono_gainen.txt,単語,頻度,zerontoroji.txt,単語,頻度
,線画,7,,もの,23,,問題,28,,ある,5,,日本,47,,火,6,,道具,9,,の,5,,もの,330,,一,9,,の,111,,なる,30,,見る,26,,こと,34,,れる,22,,いう,12,,教育,29,,来る,15,,ない,25,,それ,17,,云う,37,,もの,69,,之,13,,人類,6,,事,17,,常識,25,,れる,15,,れる,21,,十,26,,認識,13,,学,51,,二,7,,方法,14,,もの,14,,私,30,,くる,7,,もの,13,,人,69,,學,5,,なる,621,,れる,23,,ない,19,,いふ,37,,思想,14,,者,38,,こと,18,,影響,27,,もの,13,,れる,4,,場合,50,,れる,32,,いる,504,,科学,34,,社会,34,,性,738,,もの,22,,アメリカ,20
,現象,6,,よう,23,,ブーム,26,,それ,5,,なる,46,,者,6,,人間,8,,うまい,4,,科学,318,,れる,9,,なる,105,,物理,30,,つて,25,,歴史,32,,中,21,,ある,12,,もの,28,,日,15,,いる,24,,の,15,,いる,31,,それ,68,,造る,13,,つて,6,,炭,17,,者,21,,いい,13,,線,21,,時,25,,ある,12,,文化,49,,一,7,,れる,13,,それ,13,,的,29,,人間,6,,それ,12,,もの,68,,技術,5,,ふる,615,,いる,22,,案内,18,,色,37,,われわれ,13,,ない,38,,むら,17,,これ,27,,よう,12,,学者,4,,それ,49,,場合,30,,れる,480,,線,32,,ある,34,,それ,658,,云う,21,,いう,19
,なる,6,,人,22,,ない,26,,人,5,,ある,39,,の,6,,科学,8,,問題,4,,家,310,,飯粒,9,,もの,101,,ある,29,,無い,24,,れる,32,,それ,21,,放送,11,,研究,28,,的,14,,物理,23,,真,14,,之,28,,よう,55,,目標,11,,的,6,,空気,16,,素人,21,,自分,13,,幅,19,,ある,25,,傍点,11,,ない,45,,東京,7,,なる,12,,天井,13,,本,25,,うじ,6,,思う,11,,一,65,,者,5,,ひる,500,,これ,20,,的,17,,あつい,36,,環境,13,,社会,34,,見る,17,,よう,26,,古い,12,,昭和,4,,よう,48,,なる,23,,方法,417,,出る,31,,られる,32,,の,645,,なる,18,,よう,18
,よう,6,,科学,22,,もの,25,,年,5,,いる,36,,こと,6,,自然,7,,みる,4,,云う,243,,の,9,,三,98,,学,28,,自然,24,,それ,31,,なる,20,,一,10,,それ,25,,春,13,,なる,23,,よう,13,,産業,27,,いう,45,,製造,11,,月,6,,いる,16,,云う,20,,仕事,13,,数字,19,,点,24,,いる,10,,主義,45,,朝日新聞,7,,的,11,,金,12,,思う,25,,的,6,,なる,11,,物,61,,結果,5,,一,469,,人,18,,よう,16,,なる,35,,なる,12,,云う,33,,できる,16,,いる,25,,いる,11,,月,4,,一,48,,よう,22,,論,416,,ない,30,,いる,30,,もの,488,,いる,17,,栄養,18
,思う,5,,研究,19,,方,24,,例,4,,れる,35,,昭和,5,,中,6,,ある,4,,実験,228,,ない,8,,明治,94,,場合,25,,一,21,,なる,30,,上,18,,教育,9,,ゐる,25,,上,12,,何,20,,私,11,,文化,26,,的,45,,れる,11,,れる,6,,よう,14,,ない,19,,思う,12,,形,18,,ない,22,,よう,9,,ある,41,,もの,7,,思う,10,,避雷針,11,,られる,21,,く,6,,先生,10,,ら,57,,それ,5,,中,458,,なる,17,,見る,12,,上,35,,これ,11,,日本,32,,これ,15,,れる,24,,人,10,,方,3,,原因,45,,みる,22,,之,378,,実験,30,,それ,30,,吾,454,,力,16,,学,17
,れる,5,,れる,18,,よう,23,,芸術,4,,ない,34,,先生,5,,云う,6,,年,4,,それ,197,,附着,8,,地,93,,よう,21,,模型,20,,の,28,,研究,17,,大学,9,,れる,23,,人,11,,質,19,,考える,11,,れる,26,,一,38,,学,11,,ある,5,,中,13,,家,18,,いる,12,,値,18,,三,21,,発達,9,,云う,40,,いる,7,,ない,10,,者,10,,なる,20,,ない,6,,三,9,,哲学,56,,知れる,5,,ん,434,,物,17,,いる,11,,水,34,,られる,10,,ある,32,,とき,14,,云う,24,,ない,10,,入力,3,,人,44,,現象,21,,哲学,377,,よう,29,,精神,25,,対象,418,,認識,16,,八,17
,られる,4,,それ,17,,これ,22,,対象,4,,現実,29,,消す,5,,年,6,,れる,3,,ない,197,,特許,7,,上げ,92,,アマゾン,19,,之,19,,もの,23,,記憶,16,,話,9,,ある,21,,ない,11,,統計,19,,人間,10,,歴史,24,,思う,36,,人間,11,,これ,5,,地,11,,政治,18,,自然,12,,物理,17,,日,19,,問題,8,,教育,40,,見出す,6,,良い,10,,これ,10,,よう,20,,はえ,6,,ある,9,,ゆえ,54,,人,5,,叔父さん,412,,それ,16,,物理,10,,もの,33,,ある,10,,性,31,,空気,13,,考える,24,,上,9,,もの,3,,現象,44,,いう,20,,学,365,,的,29,,ところ,22,,之,413,,領域,14,,二,17
,一つ,4,,語呂,15,,話,21,,思う,4,,主義,28,,人,5,,いる,5,,入力,3,,者,185,,なる,7,,東京,92,,形,18,,人,18,,私,21,,場合,15,,番組,8,,的,20,,生命,11,,人,19,,時,10,,主義,24,,国民,35,,社会,10,,年,5,,字,11,,れる,17,,の,11,,精密,17,,上,19,,云う,8,,れる,37,,終わる,6,,者,9,,ない,10,,それ,18,,きん,6,,何,8,,われ,54,,人格,4,,ない,409,,ない,16,,知識,10,,ない,33,,性,9,,なる,30,,ところ,13,,科学,22,,研究,9,,彼,3,,的,42,,問題,20,,云う,361,,問題,28,,自然,17,,いる,407,,之,13,,れる,17
,見せる,4,,方,15,,点,21,,結晶,4,,認識,25,,場合,5,,これ,5,,用いる,3,,範疇,179,,よう,7,,朝日新聞,92,,ない,18,,数学,18,,云う,21,,方,14,,よう,8,,今日,20,,年,10,,実験,16,,ため,10,,ない,23,,話,34,,よう,10,,日,5,,明治,11,,何,15,,結果,11,,それ,16,,それ,19,,ため,8,,之,34,,ある,6,,議論,9,,電波,10,,人,18,,ばい,6,,時代,8,,考える,52,,科,4,,れる,406,,事実,16,,一つ,10,,日,30,,抽象,9,,れる,27,,熱い,11,,ない,22,,知識,9,,それ,3,,これ,39,,出来る,20,,字,358,,者,27,,必要,16,,られる,384,,よう,13,,もの,17
,理化,4,,見る,15,,動力,21,,ない,4,,自然,25,,なる,5,,人,5,,簡単,3,,自然,177,,人,7,,１,91,,的,16,,所,17,,氏,20,,行く,14,,それ,8,,やう,20,,これ,10,,研究,16,,中,9,,社会,22,,問題,34,,ラジウム,9,,見る,4,,四,11,,ある,13,,年,9,,もの,16,,何,18,,応用,7,,いる,29,,明治,6,,分る,9,,来る,9,,さ,17,,しれる,6,,中,7,,れる,51,,行,4,,出来る,402,,の,15,,これ,9,,ある,29,,文化,8,,歴史,23,,見える,11,,これら,16,,新しい,9,,こと,3,,ない,38,,測る,20,,ない,356,,出来る,27,,理論,16,,歴史,381,,考える,12,,老人,16
,多い,4,,ない,15,,的,20,,わかる,4,,よう,24,,行く,4,,もつ,5,,かえる,3,,問題,175,,死刑,7,,字,91,,新しい,16,,それ,16,,一,20,,一,13,,中,7,,ない,19,,思う,10,,ため,15,,思う,9,,考える,21,,人,33,,考える,9,,よう,4,,東京,11,,それ,13,,一つ,9,,程度,16,,立てる,18,,一,7,,傍点,28,,地,5,,いう,9,,出来る,9,,者,16,,しょく,5,,十,7,,思う,47,,ため,4,,来る,380,,中,14,,自然,9,,つた,28,,民族,8,,よう,23,,げ,10,,さ,15,,れる,8,,日,3,,人間,35,,精度,20,,ここ,329,,もの,27,,いう,15,,論,376,,ない,12,,ビタミン,16
,作る,4,,来る,14,,十,20,,数学,4,,云う,23,,ない,4,,言葉,5,,時間,3,,主義,167,,囚,7,,改,87,,一つ,15,,考へる,16,,意味,20,,技術,13,,ＮＨＫ,7,,必要,19,,中,9,,現象,14,,一つ,9,,ある,20,,考える,33,,もの,9,,それ,4,,朝日新聞,11,,文化,11,,もの,9,,測る,16,,話,17,,れる,7,,歴史,27,,１,5,,普及,9,,手,9,,岩波,15,,よう,5,,ため,7,,言葉,47,,今日,4,,達,374,,方,13,,上,8,,それ,27,,精神,8,,問題,23,,上,10,,簡単,14,,見る,8,,中谷,2,,結果,35,,中,19,,性,327,,これ,27,,研究,15,,意味,359,,見る,11,,それ,15
,出来る,4,,学,14,,原子力,19,,昭和,4,,公式,22,,科学,4,,意味,5,,水,3,,ある,165,,十,6,,ページ,87,,必要,15,,ひる,16,,二,20,,測定,12,,れる,7,,實,19,,時,9,,学,13,,家,8,,実証,20,,ない,33,,教育,9,,際,4,,これ,11,,一般,10,,それ,8,,一,15,,いう,17,,考える,7,,よう,26,,上げ,5,,中,8,,雷,9,,来る,15,,者,4,,問題,6,,見える,46,,復興,4,,傍点,333,,表わす,12,,一,8,,これ,26,,一,8,,之,22,,傍点,9,,表わす,14,,年,8,,宇吉郎,2,,くる,34,,的,18,,歴史,324,,言う,26,,できる,14,,出来る,342,,論,10,,老齢,14
,年,4,,虫,14,,くる,19,,月,4,,意味,22,,月,4,,一つ,5,,良い,3,,生産,144,,中,6,,人,84,,自然,15,,なる,15,,処,18,,付き,11,,指示,7,,られる,19,,られる,9,,科学,12,,これ,8,,それ,19,,役に立つ,29,,出来る,9,,こと,4,,１,10,,世間,10,,わかる,8,,精度,14,,四,17,,手段,7,,今日,25,,四,5,,方,8,,臍,8,,年,15,,三,4,,書く,5,,られる,44,,入力,3,,何,320,,言う,12,,得る,8,,ひる,26,,ドイツ,7,,今日,20,,冷える,9,,られる,13,,物,7,,中,2,,川,30,,九,18,,ある,275,,人,24,,得る,14,,よう,329,,世界,9,,人,14
,中,3,,日本,13,,温泉,19,,中,3,,場合,21,,入力,3,,的,5,,考える,3,,於く,140,,速力,6,,これ,82,,一,14,,当て嵌る,15,,よう,16,,小文字,11,,室,7,,力,18,,気,9,,事,12,,見る,8,,於く,17,,者,28,,何,8,,呪う,3,,上げ,10,,今日,8,,よい,7,,描く,13,,五,16,,行く,7,,於く,25,,鱗片,5,,知識,8,,一,8,,一,14,,ら,4,,一,5,,いう,43,,底本,3,,二,293,,則,11,,所,8,,見る,26,,国粋,7,,唯物,18,,日光,9,,言葉,13,,点,7,,例,2,,みる,28,,人間,17,,処,265,,学者,23,,国家,13,,分類,321,,上,8,,中,13
,撮影,3,,独逸,13,,者,18,,入力,3,,文化,20,,三,3,,知識,5,,品質,3,,られる,140,,小説,6,,そう,77,,発見,14,,実物,15,,いる,16,,いう,11,,人,7,,問題,18,,雲,9,,中,11,,者,7,,私,14,,ところ,28,,ない,8,,とおり,3,,二,10,,考える,8,,これ,7,,よう,13,,二,16,,一つ,6,,社会,22,,月,5,,年,7,,くる,8,,物理,14,,これ,4,,来る,5,,ところ,42,,益,3,,私,291,,場合,10,,せる,7,,眞,26,,主義,7,,それ,18,,渦,9,,場合,13,,られる,7,,地,2,,考える,27,,可能,17,,それ,261,,来る,22,,ない,13,,自然,294,,定義,8,,日本,13
,見る,3,,話,12,,深海,17,,絵,3,,古典,20,,言葉,3,,月,5,,なる,3,,性,139,,これ,6,,よう,77,,非常,13,,さ,14,,代表,15,,ところ,11,,日曜,6,,日本,16,,変化,8,,られる,11,,普遍,7,,説,14,,一つ,27,,意味,8,,結果,3,,音,10,,之,8,,ため,7,,見る,13,,よう,16,,それ,6,,者,20,,電話,4,,意味,7,,線,8,,今日,13,,ふる,4,,みる,5,,考え,39,,二,3,,さ,290,,考える,10,,学,7,,非常,25,,いう,7,,化,16,,ため,8,,得る,12,,説,7,,１,2,,できる,26,,死ぬ,17,,弁証法,234,,事件,21,,ため,13,,世界,285,,社会,8,,話,13
,大変,3,,私,11,,記事,17,,音楽,3,,実証,20,,地方,3,,日,5,,昭和,3,,資本,137,,ある,6,,れる,73,,分る,13,,銭,14,,於く,15,,くる,10,,これ,6,,得る,16,,学者,8,,これ,11,,対象,7,,生産,13,,必要,26,,私,7,,いう,3,,れる,10,,思う,7,,場合,7,,上,12,,粍,16,,之,6,,それ,20,,説教,4,,一,6,,板,8,,語る,13,,にくい,4,,役に立つ,5,,見る,37,,字,3,,時,289,,思う,10,,いう,7,,いる,24,,ない,7,,哲学,16,,模様,8,,人,12,,中,6,,字,2,,自然,25,,薬,17,,於く,232,,生物,21,,博士,12,,ある,280,,自然,7,,出る,13
,種,3,,年,11,,られる,17,,目,3,,之,19,,学校,3,,始める,4,,月,3,,学生,133,,時,5,,五,70,,方法,13,,如く,13,,対立,15,,一つ,10,,なる,6,,いふ,16,,頭,8,,一,11,,得る,7,,哲学,11,,何,26,,夫人,7,,１,3,,露,9,,人,7,,日,6,,三,12,,面積,16,,カテゴリー,6,,教,20,,五,4,,日,6,,入れる,7,,日本,13,,こ,4,,忘れる,5,,できる,36,,点,3,,お前,287,,ため,10,,温泉,7,,中,23,,上,7,,られる,15,,表面,8,,項,12,,傾向,6,,上げ,2,,問題,25,,何,16,,夫,228,,られる,20,,せる,11,,ない,276,,目的,7,,〇,13
,場合,3,,出る,11,,思う,17,,内容,3,,歴史,19,,学生,3,,問題,4,,日,3,,ここ,131,,五,5,,中,62,,られる,13,,何,13,,条件,14,,雪,10,,みる,6,,できる,15,,わかる,8,,自然,10,,上,7,,学,11,,これ,25,,それ,7,,開く,3,,改,8,,問題,7,,的,6,,粁,12,,実験,15,,者,5,,東洋,19,,六,4,,問題,6,,云う,7,,ため,12,,ける,4,,しまう,5,,霊魂,36,,なつ,3,,見る,277,,しれる,10,,見物,7,,二,22,,数学,6,,処,15,,水,8,,意味,12,,考える,6,,られる,2,,なか,24,,範囲,16,,関係,226,,物理,19,,見る,11,,学,274,,ある,7,,蛋白,13
,結局,3,,現代,11,,放射能,17,,易い,3,,研究,19,,出来る,3,,同様,4,,適用,2,,字,128,,見る,5,,ため,58,,ところ,13,,間,13,,重,14,,来る,9,,的,6,,行,14,,一,7,,これら,10,,表現,7,,思想,11,,国,24,,ため,7,,文化,3,,ページ,8,,自身,7,,何,6,,十,12,,もの,15,,今日,5,,論,18,,与える,4,,文学,6,,実験,7,,文庫,12,,繁殖,4,,方,5,,者,35,,人民,3,,つた,262,,表現,10,,考える,7,,一,22,,自然,6,,一般,14,,起こる,7,,出来る,11,,方面,6,,物理,2,,よい,23,,ない,16,,下げる,225,,年,18,,もつ,11,,云う,271,,一,7,,必要,12
,意味,3,,いう,10,,一,16,,これ,3,,それ,18,,もの,3,,界,4,,中谷,2,,出来る,126,,来る,5,,六,58,,中,12,,点,12,,られる,13,,気,9,,物理,6,,せる,14,,考える,7,,質的,10,,方,7,,何,10,,意味,24,,物,7,,協力,3,,三,8,,社会,7,,なれる,6,,さ,12,,安定,15,,目的,5,,文献,18,,の,4,,困る,6,,みる,7,,何,12,,はん,4,,気,5,,それ,34,,犯罪,3,,木,258,,価値,10,,自分,7,,内地,21,,考える,6,,傍点,14,,来る,7,,収斂,11,,生じる,5,,無線,2,,わかる,23,,適用,15,,技術,212,,一,18,,私,11,,字,262,,概念,6,,三,11
,文庫,3,,物理,10,,日,15,,雪,3,,社会,18,,意味,3,,出来る,4,,宇吉郎,2,,学,126,,科学,4,,七,55,,できる,12,,六,12,,出発,13,,電位,9,,見せる,6,,政,14,,月,7,,問題,10,,られる,7,,発達,10,,方,24,,数学,7,,仁科,2,,燃える,8,,上,6,,たま,5,,意味,10,,的,13,,られる,5,,道徳,18,,なる,4,,考え方,6,,電極,7,,生活,12,,つくす,4,,講義,5,,何,34,,ない,3,,人,256,,一,10,,何,7,,身,21,,至る,6,,精神,14,,ほう,7,,長い,11,,歴史,5,,電信,2,,ビタミン,23,,知る,15,,意味,212,,場合,18,,考える,11,,場合,261,,哲学,6,,四,11
,月,3,,北越,9,,よい,15,,形,3,,学,18,,それ,3,,方,4,,地,2,,イデオロギー,124,,三,4,,出来る,53,,実験,12,,固形,11,,動物,13,,計,9,,四,6,,ひる,13,,私,7,,見る,9,,則,6,,意味,10,,みる,23,,中,6,,芳雄,2,,九月,7,,反対,6,,意味,5,,ない,10,,問題,13,,ない,5,,批判,17,,飛行,4,,点,6,,針,7,,話,12,,知る,4,,当時,5,,ゆく,33,,ドイツ,3,,上,256,,意味,9,,中,6,,時,20,,私,6,,わけ,13,,中,6,,吾,10,,価値,5,,実用,2,,牛,22,,回,15,,世界,199,,十,17,,環境,11,,事実,260,,他,6,,六,11
