city,male,female,population,births ,deaths,marriage,divorce
01210岩見沢市　　　　　,36997,42113,79110,1785,5898,1264,576
01211網走市　　　　　　,17967,17471,35438,970,2286,694,289
01212留萌市　　　　　　,9623,10356,19979,508,1607,379,149
01213苫小牧市　　　　　,83048,86313,169361,5523,9853,3981,1794
01214稚内市　　　　　　,16524,16601,33125,905,2200,646,315
01215美唄市　　　　　　,9540,10829,20369,340,2003,283,141
01216芦別市　　　　　　,5758,6780,12538,220,1445,167,72
01217江別市　　　　　　,57163,63207,120370,3097,6690,1581,894
01218赤平市　　　　　　,4355,5276,9631,138,1182,108,50
01219紋別市　　　　　　,9811,10874,20685,499,1648,393,192
01220士別市　　　　　　,8357,9425,17782,371,1369,220,130
01221名寄市　　　　　　,13296,13936,27232,903,1679,585,221
01222三笠市　　　　　　,3621,4404,8025,179,991,114,60
01223根室市　　　　　　,11717,12610,24327,608,1924,466,187
01224千歳市　　　　　　,49460,47786,97246,3701,4178,2709,1002
01225滝川市　　　　　　,18775,20605,39380,1094,2998,841,325
01226砂川市　　　　　　,7592,8865,16457,404,1378,277,116
01227歌志内市　　　　　,1393,1586,2979,34,397,25,12
01228深川市　　　　　　,9311,10618,19929,394,1757,270,114
01229富良野市　　　　　,9871,11028,20899,653,1454,401,137
01230登別市　　　　　　,22063,24148,46211,1216,3337,821,414
01231恵庭市　　　　　　,33863,36022,69885,2163,3590,1329,599
01233伊達市　　　　　　,15144,17502,32646,795,2585,529,255
01234北広島市　　　　　,27563,30236,57799,1262,3306,700,501
01235石狩市　　　　　　,27146,29272,56418,1457,3443,754,539
01236北斗市　　　　　　,20505,23497,44002,1188,2860,774,523
01303当別町　　　　　　,7642,8153,15795,249,1050,196,99
01304新篠津村　　　　　,1477,1559,3036,78,324,44,12
01331松前町　　　　　　,2800,3418,6218,98,804,66,41
01332福島町　　　　　　,1753,2005,3758,64,443,53,20
01333知内町　　　　　　,2052,2052,4104,77,368,66,27
01334木古内町　　　　　,1746,2062,3808,55,436,52,18
01337七飯町　　　　　　,12661,14913,27574,744,2050,391,255
01343鹿部町　　　　　　,1756,1890,3646,78,324,42,28
01345森町　　　　　　　,6606,7416,14022,286,1258,202,130
01346八雲町　　　　　　,7785,7812,15597,447,1185,297,129
01347長万部町　　　　　,2394,2538,4932,113,462,94,37
01361江差町　　　　　　,3558,3851,7409,132,578,112,47
01362上ノ国町　　　　　,1945,2311,4256,70,448,49,26
01363厚沢部町　　　　　,1711,1851,3562,79,344,44,25
01364乙部町　　　　　　,1537,1849,3386,69,355,38,23
01367奥尻町　　　　　　,1276,1126,2402,46,226,38,26
01370今金町　　　　　　,2444,2624,5068,104,482,67,35
01371せたな町　　　　　,3462,3906,7368,131,777,89,44
01391島牧村　　　　　　,686,668,1354,33,145,28,6
01392寿都町　　　　　　,1394,1390,2784,70,251,45,16
01393黒松内町　　　　　,1348,1427,2775,61,275,47,10
01394蘭越町　　　　　　,2175,2355,4530,126,422,56,35
01395ニセコ町　　　　　,2458,2369,4827,183,285,126,31
01396真狩村　　　　　　,1006,1002,2008,76,156,40,16
01397留寿都村　　　　　,923,875,1798,56,103,37,11
01398喜茂別町　　　　　,1093,1000,2093,52,214,34,14
01399京極町　　　　　　,1411,1477,2888,74,253,46,20
01400倶知安町　　　　　,7368,7062,14430,578,730,414,139
01401共和町　　　　　　,3044,2719,5763,213,407,143,29
01402岩内町　　　　　　,5479,6122,11601,287,1061,206,101
01403泊村　　　　　　　,784,782,1566,35,170,33,14
01404神恵内村　　　　　,399,470,869,14,104,7,3
01405積丹町　　　　　　,851,976,1827,35,204,20,8
01406古平町　　　　　　,1301,1391,2692,36,329,29,18
01407仁木町　　　　　　,1504,1609,3113,76,313,35,21
01408余市町　　　　　　,8308,9567,17875,411,1516,250,126
01409赤井川村　　　　　,573,532,1105,31,82,34,13
01423南幌町　　　　　　,3458,3815,7273,153,468,72,51
01424奈井江町　　　　　,2390,2702,5092,96,507,62,38
01425上砂川町　　　　　,1281,1543,2824,57,381,37,18
01427由仁町　　　　　　,2292,2506,4798,86,441,57,28
01428長沼町　　　　　　,4902,5361,10263,234,827,161,77
01429栗山町　　　　　　,5155,6081,11236,245,918,146,55
01430月形町　　　　　　,2174,1504,3678,64,335,45,12
01431浦臼町　　　　　　,843,881,1724,40,161,17,11
01432新十津川町　　　　,2968,3497,6465,152,519,66,35
01433妹背牛町　　　　　,1256,1394,2650,35,267,33,14
01434秩父別町　　　　　,1071,1255,2326,68,195,34,15
01436雨竜町　　　　　　,1164,1216,2380,37,216,27,7
01437北竜町　　　　　　,820,898,1718,46,180,30,6
01438沼田町　　　　　　,1387,1516,2903,68,277,38,12
01452鷹栖町　　　　　　,3102,3462,6564,154,462,66,50
01453東神楽町　　　　　,4682,5402,10084,304,566,125,91
01454当麻町　　　　　　,2906,3403,6309,133,559,62,49
01455比布町　　　　　　,1662,1855,3517,74,352,41,22
01456愛別町　　　　　　,1213,1352,2565,52,257,23,5
01457上川町　　　　　　,1688,1764,3452,67,319,48,18
01458東川町　　　　　　,3771,4277,8048,229,553,81,66
01459美瑛町　　　　　　,4459,5123,9582,201,756,142,69
01460上富良野町　　　　,5340,4945,10285,309,637,277,86
01461中富良野町　　　　,2255,2444,4699,148,379,67,29
01462南富良野町　　　　,1218,1140,2358,67,208,41,19
01463占冠村　　　　　　,572,589,1161,32,64,29,8
01464和寒町　　　　　　,1482,1688,3170,58,304,39,21
01465剣淵町　　　　　　,1425,1500,2925,72,240,30,15
01468下川町　　　　　　,1479,1621,3100,71,294,43,23
01469美深町　　　　　　,2021,2089,4110,98,353,60,21
01470音威子府村　　　　,364,341,705,23,36,15,6
01471中川町　　　　　　,798,722,1520,36,131,19,9
01472幌加内町　　　　　,680,688,1368,29,124,16,9
01481増毛町　　　　　　,1752,2076,3828,79,436,65,34
01482小平町　　　　　　,1411,1516,2927,78,282,49,15
01483苫前町　　　　　　,1418,1492,2910,67,284,35,13
01484羽幌町　　　　　　,3150,3376,6526,150,560,103,46
01485初山別村　　　　　,512,560,1072,29,70,16,7
01486遠別町　　　　　　,1201,1259,2460,46,246,42,16
01487天塩町　　　　　　,1461,1455,2916,76,225,43,23
01511猿払村　　　　　　,1250,1200,2450,113,147,56,15
01512浜頓別町　　　　　,1671,1702,3373,80,242,87,32
01513中頓別町　　　　　,816,817,1633,41,143,31,12
01514枝幸町　　　　　　,3588,3847,7435,222,629,144,69
01516豊富町　　　　　　,2086,1846,3932,103,285,65,33
01517礼文町　　　　　　,1280,1201,2481,66,178,39,15
01518利尻町　　　　　　,993,1010,2003,57,164,43,17
01519利尻富士町　　　　,1187,1260,2447,60,238,42,15
01520幌延町　　　　　　,1275,1068,2343,81,178,62,29
01543美幌町　　　　　　,9051,9558,18609,440,1335,345,144
01544津別町　　　　　　,2093,2271,4364,98,420,53,25
01545斜里町　　　　　　,5611,5620,11231,355,761,243,84
01546清里町　　　　　　,1880,2001,3881,112,318,60,23
01547小清水町　　　　　,2206,2394,4600,140,429,64,25
01549訓子府町　　　　　,2228,2421,4649,120,374,60,40
01550置戸町　　　　　　,1280,1490,2770,72,311,38,12
01552佐呂間町　　　　　,2267,2386,4653,142,428,72,35
01555遠軽町　　　　　　,9320,9852,19172,522,1564,373,148
01559湧別町　　　　　　,3913,4212,8125,211,803,116,70
01560滝上町　　　　　　,1165,1231,2396,65,241,41,11
01561興部町　　　　　　,1740,1803,3543,113,246,65,31
01562西興部村　　　　　,505,520,1025,38,121,19,7
01563雄武町　　　　　　,1932,2039,3971,109,324,64,42
01564大空町　　　　　　,3281,3481,6762,185,597,100,39
01571豊浦町　　　　　　,1749,2010,3759,84,339,43,20
01575壮瞥町　　　　　　,1276,1441,2717,63,227,29,14
01578白老町　　　　　　,7667,8355,16022,230,1506,205,113
01581厚真町　　　　　　,2209,2177,4386,134,370,73,33
01584洞爺湖町　　　　　,3871,4483,8354,168,831,102,61
01585安平町　　　　　　,3603,3664,7267,195,593,145,58
01586むかわ町　　　　　,3687,3822,7509,196,664,115,54
01601日高町　　　　　　,5509,5510,11019,276,878,199,72
01602平取町　　　　　　,2318,2331,4649,115,361,60,29
01604新冠町　　　　　　,2502,2661,5163,137,411,81,50
01607浦河町　　　　　　,5758,6060,11818,324,842,218,95
01608様似町　　　　　　,1913,2104,4017,93,382,74,26
01609えりも町　　　　　,2206,2129,4335,104,333,73,42
01610新ひだか町　　　　,10403,11010,21413,619,1596,433,184
01631音更町　　　　　　,20569,22900,43469,1303,2573,772,402
01632士幌町　　　　　　,2836,2922,5758,185,425,109,37
01633上士幌町　　　　　,2274,2368,4642,167,387,92,39
01634鹿追町　　　　　　,2551,2640,5191,173,334,89,30
01635新得町　　　　　　,2888,2896,5784,138,540,114,41
01636清水町　　　　　　,4425,4534,8959,226,658,148,56
01637芽室町　　　　　　,8583,9405,17988,514,1036,278,133
01638中札内村　　　　　,1866,1942,3808,123,218,60,25
01639更別村　　　　　　,1515,1557,3072,128,192,61,15
01641大樹町　　　　　　,2666,2646,5312,183,391,94,35
01642広尾町　　　　　　,3087,3249,6336,160,547,103,49
01643幕別町　　　　　　,12217,13440,25657,744,1700,361,209
01644池田町　　　　　　,2961,3311,6272,125,589,90,30
01645豊頃町　　　　　　,1465,1507,2972,93,255,70,18
01646本別町　　　　　　,3199,3377,6576,155,645,91,39
01647足寄町　　　　　　,3207,3330,6537,172,561,106,33
01648陸別町　　　　　　,1125,1098,2223,67,222,39,9
01649浦幌町　　　　　　,2122,2231,4353,102,391,63,28
01661釧路町　　　　　　,9039,9991,19030,640,1050,412,227
01662厚岸町　　　　　　,4143,4593,8736,205,682,147,75
01663浜中町　　　　　　,2716,2707,5423,182,398,104,45
01664標茶町　　　　　　,3454,3681,7135,198,509,114,52
01665弟子屈町　　　　　,3300,3607,6907,167,638,113,45
01667鶴居村　　　　　　,1247,1276,2523,61,156,31,22
01668白糠町　　　　　　,3405,3794,7199,129,620,104,47
01691別海町　　　　　　,7117,6864,13981,490,854,286,136
01692中標津町　　　　　,11289,11614,22903,803,1180,514,268
01693標津町　　　　　　,2427,2519,4946,169,334,86,45
01694羅臼町　　　　　　,2333,2347,4680,108,340,83,52
02青森県　　　　　　　 ,581132,651095,1232227,34308,93167,20762,9393
0231青森市保健所　　　 ,127622,146536,274158,7712,18862,4841,2053
0232八戸市保健所　　　 ,106215,116037,222252,6952,14607,4279,1798
0252弘前保健所　　　　 ,126429,148150,274579,7787,21247,4415,2026
0255五所川原保健所　　 ,55065,65132,120197,2634,11024,1491,841
0259むつ保健所　　　　 ,33266,34743,68009,1733,5737,1225,597
0262上十三保健所　　　 ,81291,85044,166335,4922,12298,3065,1366
0263東地方保健所　　　 ,9660,10653,20313,325,2207,214,95
0264三戸地方保健所　　 ,41584,44800,86384,2243,7185,1232,617
02201青森市　　　　　　,127622,146536,274158,7712,18862,4841,2053
02202弘前市　　　　　　,77008,90752,167760,4944,12487,2902,1263
02203八戸市　　　　　　,106215,116037,222252,6952,14607,4279,1798
02204黒石市　　　　　　,14759,17071,31830,875,2425,500,236
02205五所川原市　　　　,23224,28092,51316,1269,4167,733,396
02206十和田市　　　　　,28567,31478,60045,1636,4331,918,468
02207三沢市　　　　　　,19292,19178,38470,1537,2239,1087,379
02208むつ市　　　　　　,26075,27862,53937,1417,4290,960,477
02209つがる市　　　　　,14345,16531,30876,669,2784,376,213
02210平川市　　　　　　,14178,16341,30519,799,2344,396,215
02301平内町　　　　　　,4811,5268,10079,220,940,117,50
02303今別町　　　　　　,1117,1214,2331,24,352,31,9
02304蓬田村　　　　　　,1211,1327,2538,38,248,22,14
02307外ヶ浜町　　　　　,2521,2844,5365,43,667,44,22
02321鰺ケ沢町　　　　　,4140,4889,9029,144,1060,80,63
02323深浦町　　　　　　,3393,3931,7324,93,904,73,37
02343西目屋村　　　　　,589,676,1265,29,122,13,13
02361藤崎町　　　　　　,6743,7803,14546,479,1118,218,98
02362大鰐町　　　　　　,3933,4730,8663,144,926,121,53
02367田舎館村　　　　　,3423,3892,7315,221,676,102,52
02381板柳町　　　　　　,5796,6885,12681,296,1149,163,96
02384鶴田町　　　　　　,5550,6509,12059,280,1078,129,77
02387中泊町　　　　　　,4413,5180,9593,179,1031,100,55
02401野辺地町　　　　　,5732,6491,12223,228,1025,189,110
02402七戸町　　　　　　,6937,7565,14502,285,1407,199,100
02405六戸町　　　　　　,5045,5321,10366,355,757,136,79
02406横浜町　　　　　　,2063,2090,4153,86,395,66,19
02408東北町　　　　　　,7813,8512,16325,459,1471,236,118
02411六ケ所村　　　　　,5842,4409,10251,336,673,234,93
02412おいらせ町　　　　,11544,12474,24018,949,1434,484,217
02423大間町　　　　　　,2373,2336,4709,119,408,96,47
02424東通村　　　　　　,3156,2787,5943,145,567,124,58
02425風間浦村　　　　　,779,854,1633,19,230,21,9
02426佐井村　　　　　　,883,904,1787,33,242,24,6
02441三戸町　　　　　　,4281,4767,9048,182,920,105,67
02442五戸町　　　　　　,7651,8319,15970,333,1404,173,92
02443田子町　　　　　　,2375,2580,4955,99,539,61,20
02445南部町　　　　　　,7879,8897,16776,353,1725,203,97
02446階上町　　　　　　,6786,6642,13428,298,883,182,117
02450新郷村　　　　　　,1068,1121,2189,29,280,24,7
03岩手県　　　　　　　 ,580264,622939,1203203,33567,89393,20027,8227
0331盛岡市保健所　　　 ,136179,152002,288181,9601,16375,6027,2070
0351県央保健所　　　　 ,83231,89447,172678,4951,11154,2701,1241
0355奥州保健所　　　　 ,62532,65167,127699,3586,9855,2007,880
0357一関保健所　　　　 ,57514,60821,118335,2816,10326,1615,721
0359大船渡保健所　　　 ,27859,29569,57428,1313,5204,837,380
0361釜石保健所　　　　 ,20544,22261,42805,1013,4212,684,268
0362宮古保健所　　　　 ,37028,39169,76197,1911,7092,1091,449
0364久慈保健所　　　　 ,25981,28156,54137,1269,4445,743,353
0365二戸保健所　　　　 ,24058,26296,50354,1078,4782,573,279
0366中部保健所　　　　 ,105338,110051,215389,6029,15948,3749,1586
03201盛岡市　　　　　　,136179,152002,288181,9601,16375,6027,2070
03202宮古市　　　　　　,24334,25910,50244,1342,4476,755,300
03203大船渡市　　　　　,16635,17767,34402,811,3018,553,248
03205花巻市　　　　　　,44268,48536,92804,2468,7376,1509,634
03206北上市　　　　　　,46525,45739,92264,2884,5445,1877,785
03207久慈市　　　　　　,15816,16901,32717,864,2530,519,233
03208遠野市　　　　　　,12171,13040,25211,617,2487,319,148
03209一関市　　　　　　,54044,57078,111122,2655,9678,1549,683
03210陸前高田市　　　　,8796,9291,18087,404,1633,242,103
03211釜石市　　　　　　,15315,16538,31853,726,3198,510,189
03213二戸市　　　　　　,11973,13344,25317,616,2186,354,152
03214八幡平市　　　　　,11472,12454,23926,500,2242,277,128
03215奥州市　　　　　　,54585,57724,112309,3090,8777,1713,757
03216滝沢市　　　　　　,27045,28278,55323,1938,2403,1068,466
03301雫石町　　　　　　,7482,8207,15689,315,1306,188,121
03302葛巻町　　　　　　,2727,2884,5611,104,639,51,27
03303岩手町　　　　　　,5851,6269,12120,281,1221,135,65
03321紫波町　　　　　　,15353,16708,32061,937,2023,482,235
03322矢巾町　　　　　　,13301,14647,27948,876,1320,500,199
03366西和賀町　　　　　,2374,2736,5110,60,640,44,19
03381金ケ崎町　　　　　,7947,7443,15390,496,1078,294,123
03402平泉町　　　　　　,3470,3743,7213,161,648,66,38
03441住田町　　　　　　,2428,2511,4939,98,553,42,29
03461大槌町　　　　　　,5229,5723,10952,287,1014,174,79
03482山田町　　　　　　,6871,7387,14258,351,1273,201,86
03483岩泉町　　　　　　,4305,4360,8665,174,995,109,46
03484田野畑村　　　　　,1518,1512,3030,44,348,26,17
03485普代村　　　　　　,1233,1233,2466,53,249,34,17
03501軽米町　　　　　　,4087,4245,8332,160,849,81,51
03503野田村　　　　　　,1853,2061,3914,110,329,33,20
03506九戸村　　　　　　,2554,2808,5362,92,513,45,15
03507洋野町　　　　　　,7079,7961,15040,242,1337,157,83
03524一戸町　　　　　　,5444,5899,11343,210,1234,93,61
04宮城県　　　　　　　 ,1112335,1167868,2280203,72251,128291,46348,17252
0406仙台市保健所　　　 ,524458,558732,1083190,38372,47861,26184,8134
0451石巻保健所　　　　 ,127319,132562,259881,7224,19062,4477,1942
0452塩釜保健所　　　　 ,216834,223853,440687,14498,22812,8215,3461
0453大崎保健所　　　　 ,126162,132259,258421,6607,20191,3978,2025
0454気仙沼保健所　　　 ,35716,36902,72618,1510,6081,1018,499
0456仙南保健所　　　　 ,81846,83560,165406,4040,12284,2476,1191
04100仙台市　　　　　　,524458,558732,1083190,38372,47861,26184,8134
04101仙台市青葉区　　　,147383,157674,305057,9279,13741,6797,2080
04102仙台市宮城野区　　,95210,99292,194502,8125,7818,5926,1732
04103仙台市若林区　　　,68850,71154,140004,5551,5993,4144,1074
04104仙台市太白区　　　,111912,120897,232809,9079,11054,5238,1772
04105仙台市泉区　　　　,101103,109715,210818,6338,9255,4079,1476
04202石巻市　　　　　　,67931,71079,139010,3793,10042,2497,1076
04203塩竈市　　　　　　,24750,26935,51685,1296,3672,820,397
04205気仙沼市　　　　　,29757,30800,60557,1228,5068,843,422
04206白石市　　　　　　,15893,16647,32540,687,2524,433,220
04207名取市　　　　　　,38384,39935,78319,2930,3397,1582,665
04208角田市　　　　　　,13698,14065,27763,618,2359,367,213
04209多賀城市　　　　　,31206,31223,62429,2515,2821,1548,542
04211岩沼市　　　　　　,21514,22167,43681,1558,2150,867,310
04212登米市　　　　　　,37054,38643,75697,1992,6154,1081,502
04213栗原市　　　　　　,30998,33153,64151,1341,6115,773,423
04214東松島市　　　　　,19034,19922,38956,1252,2319,784,325
04215大崎市　　　　　　,62137,64431,126568,3755,8573,2364,1107
04216富谷市　　　　　　,24980,26444,51424,1657,1649,718,382
04301蔵王町　　　　　　,5527,5824,11351,269,1027,143,93
04302七ケ宿町　　　　　,609,626,1235,19,191,16,7
04321大河原町　　　　　,11452,11992,23444,754,1384,446,200
04322村田町　　　　　　,5269,5343,10612,229,834,154,61
04323柴田町　　　　　　,19272,18846,38118,1102,2124,696,278
04324川崎町　　　　　　,4082,4132,8214,159,616,94,48
04341丸森町　　　　　　,6044,6085,12129,203,1225,127,71
04361亘理町　　　　　　,16144,16786,32930,918,2033,537,250
04362山元町　　　　　　,5948,6040,11988,251,968,146,82
04401松島町　　　　　　,6384,6876,13260,266,1125,180,80
04404七ケ浜町　　　　　,8971,9063,18034,421,1073,267,125
04406利府町　　　　　　,17101,17955,35056,1245,1373,660,264
04421大和町　　　　　　,14785,13571,28356,1100,1424,724,268
04422大郷町　　　　　　,3769,3965,7734,160,685,88,44
04424大衡村　　　　　　,2898,2893,5791,181,442,78,52
04444色麻町　　　　　　,3242,3422,6664,173,539,81,63
04445加美町　　　　　　,10691,11088,21779,464,1892,264,159
04501涌谷町　　　　　　,7499,7831,15330,324,1217,191,119
04505美里町　　　　　　,11595,12334,23929,550,1855,305,154
04581女川町　　　　　　,3300,2918,6218,187,547,115,39
04606南三陸町　　　　　,5959,6102,12061,282,1013,175,77
05秋田県　　　　　　　 ,451082,504577,955659,22562,79872,13964,5848
0531秋田市保健所　　　 ,144717,161629,306346,8783,19317,5694,2087
0552大館保健所　　　　 ,48373,54295,102668,2351,9560,1417,636
0553北秋田保健所　　　 ,15122,16976,32098,500,3442,358,147
0554能代保健所　　　　 ,34364,40003,74367,1409,7623,868,448
0557秋田中央保健所　　 ,36889,41483,78372,1513,7179,931,412
0558由利本荘保健所　　 ,46913,50872,97785,2257,8147,1250,577
0561大仙保健所　　　　 ,56304,64207,120511,2698,11341,1682,741
0562横手保健所　　　　 ,40252,44922,85174,1944,7452,1098,498
0563湯沢保健所　　　　 ,28148,30190,58338,1107,5811,666,302
05201秋田市　　　　　　,144717,161629,306346,8783,19317,5694,2087
05202能代市　　　　　　,22894,26866,49760,1050,4825,652,317
05203横手市　　　　　　,40252,44922,85174,1944,7452,1098,498
05204大館市　　　　　　,32493,36431,68924,1620,6276,975,467
05206男鹿市　　　　　　,11839,13271,25110,341,2807,256,113
05207湯沢市　　　　　　,20089,21888,41977,774,4154,487,211
05209鹿角市　　　　　　,13656,15341,28997,651,2753,391,145
05210由利本荘市　　　　,35742,38692,74434,1795,6148,979,436
05211潟上市　　　　　　,14924,16709,31633,786,2336,453,197
05212大仙市　　　　　　,36213,41213,77426,1896,7180,1173,502
05213北秋田市　　　　　,14139,15917,30056,473,3125,340,141
05214にかほ市　　　　　,11171,12180,23351,462,1999,271,141
05215仙北市　　　　　　,11394,13127,24521,419,2469,290,147
05303小坂町　　　　　　,2224,2523,4747,80,531,51,24
05327上小阿仁村　　　　,983,1059,2042,27,317,18,6
05346藤里町　　　　　　,1377,1493,2870,32,401,31,18
05348三種町　　　　　　,7024,8184,15208,230,1667,140,71
05349八峰町　　　　　　,3069,3460,6529,97,730,45,42
05361五城目町　　　　　,3984,4536,8520,141,929,77,39
05363八郎潟町　　　　　,2525,3032,5557,102,493,56,27
05366井川町　　　　　　,2127,2433,4560,75,410,49,20
05368大潟村　　　　　　,1490,1502,2992,68,204,40,16
05434美郷町　　　　　　,8697,9867,18564,383,1692,219,92
05463羽後町　　　　　　,6626,7097,13723,283,1407,160,82
05464東成瀬村　　　　　,1433,1205,2638,50,250,19,9
06山形県　　　　　　　 ,513878,546708,1060586,31163,79023,18153,6719
0631山形市保健所　　　 ,118449,127835,246284,8343,14794,4891,1584
0653村山保健所　　　　 ,137634,144454,282088,8547,21207,4795,1718
0654最上保健所　　　　 ,33916,36307,70223,1753,6462,1016,495
0661置賜保健所　　　　 ,98317,101692,200009,5465,15521,3329,1324
0662庄内保健所　　　　 ,125562,136420,261982,7055,21039,4122,1598
06201山形市　　　　　　,118449,127835,246284,8343,14794,4891,1584
06202米沢市　　　　　　,39946,40569,80515,2258,5637,1434,529
06203鶴岡市　　　　　　,58413,63225,121638,3441,9582,1912,789
06204酒田市　　　　　　,47708,52053,99761,2549,7964,1597,602
06205新庄市　　　　　　,16373,17669,34042,987,2672,609,245
06206寒河江市　　　　　,19419,20413,39832,1399,2775,742,243
06207上山市　　　　　　,13867,15092,28959,637,2446,379,145
06208村山市　　　　　　,10908,11428,22336,479,2036,276,115
06209長井市　　　　　　,12818,13384,26202,745,2141,435,181
06210天童市　　　　　　,29952,31657,61609,2291,3717,1233,449
06211東根市　　　　　　,23427,23924,47351,1993,2859,1172,332
06212尾花沢市　　　　　,7313,7578,14891,288,1443,193,98
06213南陽市　　　　　　,14552,15598,30150,931,2307,579,219
06301山辺町　　　　　　,6590,7088,13678,327,1056,169,60
06302中山町　　　　　　,5227,5462,10689,258,796,139,57
06321河北町　　　　　　,8458,8999,17457,423,1365,204,110
06322西川町　　　　　　,2382,2532,4914,80,566,44,13
06323朝日町　　　　　　,3139,3175,6314,131,680,80,21
06324大江町　　　　　　,3744,3815,7559,129,825,83,40
06341大石田町　　　　　,3208,3291,6499,112,643,81,35
06361金山町　　　　　　,2464,2550,5014,116,484,62,38
06362最上町　　　　　　,3909,4089,7998,170,762,92,52
06363舟形町　　　　　　,2420,2554,4974,101,548,66,26
06364真室川町　　　　　,3390,3778,7168,146,841,65,48
06365大蔵村　　　　　　,1497,1515,3012,63,326,21,21
06366鮭川村　　　　　　,1885,1991,3876,86,371,52,34
06367戸沢村　　　　　　,1978,2161,4139,84,458,49,31
06381高畠町　　　　　　,10863,11404,22267,620,1687,355,170
06382川西町　　　　　　,7089,7401,14490,352,1237,191,79
06401小国町　　　　　　,3534,3517,7051,128,659,95,36
06402白鷹町　　　　　　,6314,6455,12769,257,1186,152,74
06403飯豊町　　　　　　,3201,3364,6565,174,667,88,36
06426三川町　　　　　　,3682,3889,7571,288,592,132,49
06428庄内町　　　　　　,9602,10443,20045,498,1636,332,110
06461遊佐町　　　　　　,6157,6810,12967,279,1265,149,48
07福島県　　　　　　　 ,897843,921242,1819085,55620,127219,34303,14301
0731郡山市保健所　　　 ,160487,164341,324828,11347,17683,7284,2909
0732いわき市保健所　　 ,162248,167868,330116,9757,21818,6231,2822
0733福島市保健所　　　 ,137383,143328,280711,8617,17217,5382,1948
0770南会津保健所　　　 ,11914,12236,24150,476,2511,310,146
0771県北保健所　　　　 ,89205,92803,182008,4802,14006,2685,1191
0772県中保健所　　　　 ,94044,96429,190473,5347,13763,3039,1294
